user,area
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
1,DESIGN
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
2,PRODUTO
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
3,DESIGN
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
4,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
5,PRODUTO
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
6,ENGENHARIA
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
7,BIZDEV
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
8,ENGENHARIA
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
9,DESIGN
10,ENGENHARIA
10,ENGENHARIA
10,ENGENHARIA
10,ENGENHARIA
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
11,BIZDEV
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
12,PRODUTO
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
13,ENGENHARIA
